id,callnumber,mainentry,isbn,title,author,placeofpublication,publisher,year,edition,physicaldesc,series,notesarea,subject,addedentry,price,copies,date,note,source
1,HF5657.4 L278 2018,"Langfield-Smith, K.",9781760420406,Management Accounting Information for Creating and Managing Value,"Kim Langfield-Smith, David Smith, Paul Andon & Ronald Hilton",Sydney :,"McGraw-Hill Education (Australia) Pty Ltd.,",2018,8th ed.,"|a xxiii, 1099 p. :|b ill. ;|c 24 cm.",,Includes text.,Managerial Accounting -- Australia --,"Smith, D., Andon, P., & Hilton, R.",,1,9/7/2021,Corporate Admin,Library Materials
2,KPG1220 .M354 2020,Maimunah Aminuddin,9789670761428,Malaysian Industrial Relations and Employment Law,Maimunah Aminuddin,Kuala Lumpur :,"McGraw-Hill Education (Malaysia) Sdn. Bhd.,",2020,,"|a xvi, 454 p. ;|c 24 cm.",,,,,,1,9/7/2021,Corporate Admin,Library Materials
3,KPG1220 .M223 2020,Maimunah Aminuddin,9789674571511,Employment Law Manual for Practitioners,Maimunah Aminuddin,Ampang :,"The Malaysian Current Law Journal S. B.,",2020,3rd ed.,"|a iv, 736 p. ;|c 26 cm.",,,Labor laws and legislation -- Malaysia --,,,1,9/7/2021,Corporate Admin,Library Materials
4,JA66 .I58 2020,Abdul Rashid Moten,9789670357768,Introduction to Political Science,"Abdul Rashid Moten, Syed Serajul Islam",Puchong :,"Cengage Learning Asia Pte Ltd.,",2020,6th ed.,"|a xv, 464 p. ;|c 26 cm.",,,,Syed Serajul Islam,,1,9/7/2021,Corporate Admin,Library Materials
5,HB615.K96E 2017,"Kuratko, D. F.",9781305576247,"Entrepreneurship: Theory, Process, Practice",Donald F. Kuratko,Boston :,"Cengage Learning,",2017,10th ed.,"|a xxxi, 465 p. :|b col. ill. ;|c 29 cm.",,,Entrepreneurship -- United States. New business enterprises -- United States. Small business -- United States.,,,1,9/7/2021,Corporate Admin,Library Materials
6,HB171.5 .S6 35 2017,"Sloman, J.",9781292187853,Economics,"John Sloman, Dean Garratt & Jon Guest",New York :,"Pearson,",2018,10th ed.,"|a xxv, 863 p. :|b col. ill. ;|c 27 cm.",,,Economics --,"Garratt, G., Guest, J.",,1,9/7/2021,Corporate Admin,Library Materials
7,PL 5065. M634 N8 2018,Zarina Othman,9789674120962,Modul Komunikasi Bahasa Melayu Antarabangsa,"Zarina Othman, Roosfa Hashim & Rusdi Abdullah",Bangi :,"UKM Cetak Sdn. Bhd.,",2018,,|a 284 p. :|b col. ill. ;|c 26 cm. + 1 CD (4 3/4 in.),,,Malay Language -- Conversation and phrase books.,"Roosfa Hashim, Rusdi Abdullah",,1,9/7/2021,Corporate Admin (Kursus Wajib Universiti),Library Materials
8,HD 58.7 .M42 2021,"Mcshane, S. L.",9781260570656,"Organizational behaviour : Emerging Knowledge, Global Reality","Steven L. McShane, Mary Ann Von Glinow",New York :,"McGraw-Hill Education,",2021,,"|a xxiii, 596 p. :|b col. ill. ; |c 28 cm.",,,,"Glinow, M. A. V.",,1,9/7/2021,Corporate Admin,Library Materials
9,QA37.2 .H29 1999,"Harshbarger, R. J.",9781337625340,"Mathematical Applications for the Management, Life and Social Sciences","Ronald J. Harshbarger, James J. Reynolds","Boston, MA :","Cengage Learning,",2019,12th ed.,"|a xv, 901 p. : |b col. ill. ; |c 28 cm.",,,,"Reynolds, J. J.",,1,18/8/2021,Corporate Admin,Library Materials
10,HD 62.5 H673 2021,"Hisrich, R. D.",9781260565621,Entrepreneurship,"Robert D. Hisrich, Michael P. Peters, Dean A. Sheperd",New York :,"McGraw-Hill Education,",2021,11th ed.,"|a xxiii, 581 p. :|b col. ill. ; |c 26 cm.",,,,"Peters, M. P., Sheperd, D. A.",,1,9/7/2021,Corporate Admin,Library Materials
11,,"McConnell, C. R.",9781260570618,Economics,"Campbell R. McConnell, Stanley L. Brue, Sean M. Flynn",New York :,"McGraw-Hill Education,",2021,22nd ed.,"|a xxxi, 857 p. :|b col, ill. ; |c 28 cm.",,Includes index.,"Economics -- ""International student edition."" --Cover.","Brue, S. L., Flynn, S. M.",,1,14/9/2021,Corporate Admin,Library Materials
12,HB171.5 .C315 2020,"Case, K. E.",9781292294698,Principles of Economics,"Karl E. Case, Ray C. Fair, Sharon M. Oster","Harlow, England :","Pearson Education Limited,",2020,"13th ed., global ed.",|a 810 p. : |b col. ill. ; |c 28 cm.,,Includes index.,Economics.,"Fair, R. C., Oster, S. M.",,1,14/9/2021,Corporate Admin,Library Materials
